Close,Mkt-RF,SMB,HML,RMW,CMA,RF
-5.729749068633128,-0.89,0.37,0.29,-0.28,0.23,0.06
2.763290433259158,0.14,-0.3,-0.24,0.24,-0.38,0.06
3.2255808132663377,0.8,-0.26,0.03,-0.13,-0.16,0.06
4.166357110595897,0.82,-0.33,-0.4,0.3,-0.33,0.06
-3.4997819412523,-0.51,0.28,0.27,-0.21,0.18,0.06
-1.5542728493215585,-0.04,0.04,0.32,-0.21,-0.02,0.06
3.68391275261426,0.56,-0.08,-0.43,-0.02,-0.25,0.06
1.5227693982045931,0.77,-0.19,-0.35,0.02,-0.3,0.06
-0.9999003757159342,-0.34,-0.19,0.12,0.35,-0.11,0.06
1.5150166374568563,0.42,-0.54,-0.47,0.56,-0.33,0.06
2.9848821841859996,1.05,-0.55,-0.27,0.32,-0.44,0.06
-2.415274074238649,0.09,0.17,0.1,-0.18,0.0,0.06
0.0,-0.45,0.22,0.25,-0.08,-0.05,0.06
0.0,0.34,-0.66,0.05,0.31,-0.24,0.06
-2.9701227076595282,0.85,-0.54,-0.11,-0.06,-0.35,0.06
-2.04067215367173,-0.24,0.31,0.27,-0.06,0.27,0.06
-3.1247882432372753,0.05,0.02,-0.27,0.0,-0.31,0.06
-1.6127904066332244,-0.7,0.51,0.12,-0.14,0.28,0.06
-3.279426196064994,-1.01,-0.04,0.62,0.01,0.19,0.06
-2.2598026148702433,-1.1,-0.16,0.7,-0.28,0.51,0.06
-1.1560050599446758,0.19,-0.2,-0.28,0.06,-0.09,0.06
1.169524826111834,0.15,0.15,-0.24,0.05,-0.08,0.06
-6.9359900895155535,-1.03,0.42,0.85,-0.44,0.48,0.06
-6.211866353078433,-2.96,0.05,1.8,-0.36,1.19,0.06
2.649996897256335,-0.53,-1.06,-0.12,0.04,-0.47,0.06
-1.9364696464765685,-0.12,-0.05,0.2,-0.19,0.14,0.06
0.6578201059268096,-1.07,0.3,0.8,-0.25,0.43,0.06
5.229648769256334,0.41,-0.14,-0.03,-0.01,-0.06,0.06
0.0,-1.14,0.06,0.86,0.07,0.5,0.06
6.210762930944491,0.12,-0.53,-0.11,0.14,0.0,0.06
1.754302517088413,0.26,0.03,-0.16,-0.03,-0.1,0.06
-5.172091930105593,-1.91,0.25,1.19,-0.26,0.82,0.06
-1.212007659163039,-1.04,-0.06,0.42,-0.13,0.45,0.06
-3.0673166503523364,-1.97,-0.79,1.09,-0.07,0.86,0.06
0.0,0.25,-0.25,-0.22,0.24,-0.18,0.06
0.6328998807835662,1.49,0.02,-0.73,0.18,-0.82,0.06
-1.2578389006642543,1.16,0.0,-0.25,0.01,0.02,0.06
-3.1856202131720135,-0.78,0.65,-0.02,0.0,0.3,0.06
-2.631395008546944,-0.62,0.43,0.41,-0.14,0.27,0.06
-2.0269109358126203,-0.85,-0.18,1.1,-0.02,0.5,0.06
-2.7584494205897814,-1.48,0.18,1.31,-0.28,0.56,0.06
0.7091483284215272,-0.92,-0.27,0.76,-0.31,0.24,0.06
0.7042100204016188,0.54,-0.74,0.26,0.29,0.05,0.06
-5.594083686754825,-0.52,0.16,0.47,-0.19,0.43,0.06
-2.2220440408112663,-1.22,-0.93,0.91,0.09,0.38,0.06
-0.7575158325710873,-0.39,0.32,0.18,-0.02,-0.06,0.06
-12.977620439310943,-2.4,-1.11,1.75,-0.23,0.74,0.06
0.8771359582888438,1.94,-1.82,-1.59,1.08,-1.24,0.06
5.217085373785357,0.85,1.52,-1.26,-0.01,-0.38,0.06
0.8264170169057117,0.28,0.54,-0.31,-0.18,-0.21,0.06
0.0,0.66,-0.02,-0.82,0.43,-0.47,0.05
8.19771116307313,1.96,-0.14,-0.96,0.45,-0.94,0.05
3.030069927532586,0.31,0.54,-0.24,0.01,-0.19,0.05
-0.7352504250461633,-0.07,0.29,-0.93,0.37,-0.62,0.05
5.9255647370587194,1.55,-0.01,-0.79,0.05,-0.3,0.05
3.496287840947998,0.88,0.39,-0.65,0.03,-0.05,0.05
0.6755977514359524,-0.49,0.61,0.87,-0.25,0.81,0.05
3.3566879226589075,-0.22,0.31,0.28,-0.03,0.2,0.05
0.0,-0.22,0.46,-0.09,0.12,-0.07,0.05
-5.844867097492745,-1.58,0.42,1.0,-0.12,0.57,0.05
2.068844572701689,0.55,-0.39,-0.13,0.19,-0.38,0.05
-1.3512719958499453,-0.36,0.33,0.33,0.06,0.16,0.05
2.0546334334900163,-0.21,-0.18,0.27,0.18,0.25,0.05
5.369996987698822,0.95,-0.4,-0.6,0.28,-0.31,0.05
0.0,-0.12,0.42,-0.48,0.35,-0.33,0.05
